[21:20:33] UDP debugger initialized OK
[21:20:34] Initialized telemetry.
[21:20:34] Initialized sensor.
[21:21:03] [2.72462797165] Data read
[21:21:03] [2.73610305786] Data read
[21:21:03] [2.74972510338] Data read
[21:21:03] [2.76084518433] Data read
[21:21:03] [2.77247309685] Data read
[21:21:03] [2.78443598747] Data read
[21:21:03] [2.79691410065] Data read
[21:21:03] [2.80809617043] Data read
[21:21:03] [2.82077598572] Data read
[21:21:03] [2.83237099648] Data read
[21:21:03] [2.84428215027] Data read
[21:21:03] [2.8560860157] Data read
[21:21:03] [2.86860203743] Data read
[21:21:03] [2.88001918793] Data read
[21:21:03] [2.89224600792] Data read
[21:21:03] [2.9042801857] Data read
[21:21:03] [2.9167201519] Data read
[21:21:03] [2.92826318741] Data read
[21:21:03] [2.94128918648] Data read
[21:21:03] [2.95279097557] Data read
[21:21:03] [2.96414709091] Data read
[21:21:03] [2.97618198395] Data read
[21:21:03] [2.98854398727] Data read
[21:21:03] [3.00003600121] Data read
[21:21:03] [3.01218414307] Data read
[21:21:03] [3.02397799492] Data read
[21:21:03] [3.03630614281] Data read
[21:21:03] [3.04787111282] Data read
[21:21:03] [3.06040811539] Data read
[21:21:03] [3.07186508179] Data read
[21:21:03] [3.0841050148] Data read
[21:21:03] [3.09605813026] Data read
[21:21:03] [3.1083381176] Data read
[21:21:03] [3.11998105049] Data read
[21:21:03] [3.13245296478] Data read
[21:21:03] [3.14357709885] Data read
[21:21:03] [3.1560921669] Data read
[21:21:03] [3.1679520607] Data read
[21:21:03] [3.17996406555] Data read
[21:21:03] [3.19182801247] Data read
[21:21:03] [3.20430111885] Data read
[21:21:03] [3.21651601791] Data read
[21:21:03] [3.22795009613] Data read
[21:21:03] [3.23975205421] Data read
[21:21:03] [3.25223112106] Data read
[21:21:03] [3.26356506348] Data read
[21:21:03] Sent heartbeat (3)
[21:21:03] [3.2768201828] Data read
[21:21:03] [3.28760099411] Data read
[21:21:03] [3.30056905746] Data read
[21:21:03] [3.31257104874] Data read
[21:21:03] [3.32405519485] Data read
[21:21:03] [3.33586096764] Data read
[21:21:03] [3.3478410244] Data read
[21:21:03] [3.35942697525] Data read
[21:21:03] [3.37179303169] Data read
[21:21:03] [3.38437199593] Data read
[21:21:03] [3.39583897591] Data read
[21:21:03] [3.40732598305] Data read
[21:21:03] [3.41994810104] Data read
[21:21:03] [3.43152403831] Data read
[21:21:03] [3.44417405128] Data read
[21:21:03] [3.45540308952] Data read
[21:21:03] [3.4679980278] Data read
[21:21:03] [3.47954702377] Data read
[21:21:03] [3.49432706833] Data read
[21:21:03] [3.50408101082] Data read
[21:21:03] [3.51558613777] Data read
[21:21:03] [3.52739715576] Data read
[21:21:03] [3.5397400856] Data read
[21:21:03] [3.55127596855] Data read
[21:21:03] [3.5635240078] Data read
[21:21:03] [3.57533812523] Data read
[21:21:03] [3.58786010742] Data read
[21:21:03] [3.59916496277] Data read
[21:21:03] [3.61175012589] Data read
[21:21:03] [3.62423610687] Data read
[21:21:03] [3.63566017151] Data read
[21:21:03] [3.64746618271] Data read
[21:21:03] [3.65954709053] Data read
[21:21:04] [3.67110800743] Data read
[21:21:04] [3.6836540699] Data read
[21:21:04] [3.69508314133] Data read
[21:21:04] [3.70754408836] Data read
[21:21:04] [3.71936297417] Data read
[21:21:04] [3.73199605942] Data read
[21:21:04] [3.74291706085] Data read
[21:21:04] [3.75571513176] Data read
[21:21:04] [3.76698207855] Data read
[21:21:04] [3.77932214737] Data read
[21:21:04] [3.79091119766] Data read
[21:21:04] [3.80358219147] Data read
[21:21:04] [3.81496405602] Data read
[21:21:04] [3.8282790184] Data read
[21:21:04] [3.83923411369] Data read
[21:21:04] [3.85138916969] Data read
[21:21:04] [3.86328196526] Data read
[21:21:04] [3.87543797493] Data read
[21:21:04] [3.88692808151] Data read
[21:21:04] [3.89909505844] Data read
[21:21:04] [3.91106009483] Data read
[21:21:04] [3.92325997353] Data read
[21:21:04] [3.93461418152] Data read
[21:21:04] [3.94725418091] Data read
[21:21:04] [3.95897507668] Data read
[21:21:04] [3.9711060524] Data read
[21:21:04] [3.98286700249] Data read
[21:21:04] [3.99510407448] Data read
[21:21:04] [4.00659799576] Data read
[21:21:04] [4.01909208298] Data read
[21:21:04] [4.03109312057] Data read
[21:21:04] [4.04286313057] Data read
[21:21:04] [4.0546631813] Data read
[21:21:04] [4.0669260025] Data read
[21:21:04] [4.07864117622] Data read
[21:21:04] [4.09130311012] Data read
[21:21:04] [4.10249614716] Data read
[21:21:04] [4.11507296562] Data read
[21:21:04] [4.12662100792] Data read
[21:21:04] [4.13992905617] Data read
[21:21:04] [4.15067505836] Data read
[21:21:04] [4.16291809082] Data read
[21:21:04] [4.17446303368] Data read
[21:21:04] [4.18709015846] Data read
[21:21:04] [4.19843196869] Data read
[21:21:04] [4.21105003357] Data read
[21:21:04] [4.22231411934] Data read
[21:21:04] [4.23472499847] Data read
[21:21:04] [4.24673914909] Data read
[21:21:04] [4.25918197632] Data read
[21:21:04] [4.27131414413] Data read
[21:21:04] Sent heartbeat (3)
[21:21:04] [4.28685307503] Data read
[21:21:04] [4.29595303535] Data read
[21:21:04] [4.30670619011] Data read
[21:21:04] [4.31822419167] Data read
[21:21:04] [4.33063697815] Data read
[21:21:04] [4.3423640728] Data read
[21:21:04] [4.35460519791] Data read
[21:21:04] [4.36660718918] Data read
[21:21:04] [4.37852811813] Data read
[21:21:04] [4.39061617851] Data read
[21:21:04] [4.40260601044] Data read
[21:21:04] [4.41442799568] Data read
[21:21:04] [4.4268450737] Data read
[21:21:04] [4.43842816353] Data read
[21:21:04] [4.45051813126] Data read
[21:21:04] [4.46206307411] Data read
[21:21:04] [4.4745221138] Data read
[21:21:04] [4.4863781929] Data read
[21:21:04] [4.49871206284] Data read
[21:21:04] [4.51034116745] Data read
[21:21:04] [4.52274298668] Data read
[21:21:04] [4.53391909599] Data read
[21:21:04] [4.54649019241] Data read
[21:21:04] [4.55823898315] Data read
[21:21:04] [4.57036304474] Data read
[21:21:04] [4.58233118057] Data read
[21:21:04] [4.59427213669] Data read
[21:21:04] [4.6061000824] Data read
[21:21:04] [4.61843204498] Data read
[21:21:04] [4.63034915924] Data read
[21:21:04] [4.64234399796] Data read
[21:21:04] [4.65430116653] Data read
[21:21:05] [4.66623306274] Data read
[21:21:05] [4.67819809914] Data read
[21:21:05] [4.69067406654] Data read
[21:21:05] [4.70210814476] Data read
[21:21:05] [4.71448111534] Data read
[21:21:05] [4.72572803497] Data read
[21:21:05] [4.73855900764] Data read
[21:21:05] [4.74972105026] Data read
[21:21:05] [4.76246118546] Data read
[21:21:05] [4.77364516258] Data read
[21:21:05] [4.7861301899] Data read
[21:21:05] [4.79855704308] Data read
