0.18593788147,	0,	0.00754766631871,	-0.00502560148016,	-1.73269820213,	-3.50066184998,	31.4160175323,	65.2075653076,	0.0127484994009,	0.0350198484957,	2.84734416008,	0.0143444305286,	0.004903415218,	0.0223417691886
0.198286056519,	0,	0.00781898200512,	-0.0049550877884,	-1.73169374466,	-3.63613319397,	31.6865730286,	66.4214706421,	0.00882588420063,	0.0360349193215,	2.85079550743,	0.0145180728287,	0.00270809978247,	0.0207648333162
0.209600925446,	0,	0.00803183019161,	-0.00496063474566,	-1.73089849949,	-3.7445101738,	31.9030170441,	67.3926010132,	0.0166711155325,	0.0324821807444,	2.85769820213,	0.0120910778642,	0.00108497217298,	0.0187066048384
0.222395896912,	0,	0.00818473193794,	-0.00500110676512,	-1.73015403748,	-3.68556451797,	32.4791069031,	68.1666793823,	0.0225550383329,	0.0319746434689,	2.86183977127,	0.00764540210366,	0.00157811865211,	0.0161786805838
0.23393702507,	0,	0.00829769484699,	-0.00497289095074,	-1.72937178612,	-3.63840794563,	32.9399795532,	68.7859420776,	0.0205937307328,	0.0268993042409,	2.85286641121,	0.00746117532253,	0.00621370784938,	0.0121537987143
0.246006965637,	0,	0.00844650529325,	-0.00499187689275,	-1.72874927521,	-3.74620628357,	33.0400085449,	69.283241272,	0.0235356912017,	0.0299445092678,	2.85010528564,	0.00883925892413,	0.00398681499064,	0.00926448404789
0.257447957993,	0,	0.00857985392213,	-0.00498987641186,	-1.7280074358,	-3.83244514465,	33.1200332642,	69.6810836792,	0.0107871918008,	0.0268993042409,	2.84596371651,	0.0096648465842,	-0.00182144902647,	0.00800266116858
0.270313978195,	0,	0.00876708421856,	-0.00506695918739,	-1.72758793831,	-4.19176626205,	33.451335907,	70.1326751709,	0.0186324231327,	0.0395876541734,	2.84320259094,	0.00683550536633,	-0.00385472178459,	0.0104062790051
0.281757831573,	0,	0.00887883268297,	-0.00511055067182,	-1.72728478909,	-4.47922325134,	33.716381073,	70.4939422607,	0.0176517684013,	0.0314671099186,	2.84596371651,	0.00563221238554,	-0.00168467499316,	0.0111941061914
0.294258832932,	0,	0.00902381725609,	-0.00497889332473,	-1.72685825825,	-4.56401109695,	33.7952651978,	70.6487350464,	0.00686457660049,	0.0324821807444,	2.84734416008,	0.00809295009822,	0.00666457042098,	0.0124822407961
