0.399693965912,	0,	1.5977357626,	0.604635059834,	2.76215410233,	-36.3120536804,	-22.4574356079,	-12.7824048996,	-0.871981978416,	-0.507266998291,	-1.72650337219,	0.481209605932,	0.409219682217,	0.633131861687
0.41228890419,	0,	1.63991189003,	0.60926258564,	2.78710007668,	-36.1393241882,	-22.5721321106,	-12.9171543121,	-0.836702108383,	-0.417643845081,	-1.61233520508,	0.428530454636,	0.580559909344,	0.65335214138
0.423960924149,	0,	1.68409180641,	0.612628698349,	2.81319999695,	-36.0011405945,	-22.6638889313,	-13.0249538422,	-0.789131164551,	-0.573588132858,	-1.57738566399,	0.354034692049,	0.717844963074,	0.657076954842
0.435823917389,	0,	1.72909891605,	0.614688873291,	2.83972787857,	-35.8903465271,	-22.4687595367,	-13.1130571365,	-0.758631169796,	-0.699060559273,	-1.54787278175,	0.248144298792,	0.81309312582,	0.637388765812
0.447885990143,	0,	1.77160000801,	0.614937722683,	2.86714959145,	-35.8017120361,	-22.3126564026,	-13.1835393906,	-0.753396093845,	-0.650664031506,	-1.68534064293,	0.119905173779,	0.851405203342,	0.645902574062
0.460268974304,	0,	1.80998468399,	0.61314445734,	2.89499235153,	-35.730556488,	-21.9192390442,	-13.2417879105,	-0.777978181839,	-0.473210215569,	-1.96338307858,	0.0188037864864,	0.831184923649,	0.657076954842
0.47162103653,	0,	1.84364879131,	0.609340667725,	2.92234992981,	-35.6736335754,	-21.6045055389,	-13.2883872986,	-0.780254304409,	-0.123679943383,	-2.20414614677,	-0.0152514157817,	0.748707473278,	0.653884291649
0.484148025513,	0,	1.87459492683,	0.604018688202,	2.94753456116,	-36.0640220642,	-21.4863967896,	-13.4597845078,	-0.771149814129,	0.0908485949039,	-2.41384291649,	0.0241249129176,	0.607697665691,	0.662398099899
0.495817899704,	0,	1.90350687504,	0.598789870739,	2.96966910362,	-36.376335144,	-21.3919086456,	-13.5969028473,	-0.787993133068,	0.23498827219,	-2.45888876915,	0.123097851872,	0.42837575078,	0.625150203705
0.508012056351,	0,	1.93109047413,	0.594616055489,	2.98889827728,	-36.1904525757,	-21.4492053986,	-13.8408699036,	-0.798690855503,	0.33751013875,	-2.4254925251,	0.261979222298,	0.232558339834,	0.552782893181
0.519686937332,	0,	1.95850133896,	0.592105984688,	3.00605797768,	-36.0417480469,	-21.4950428009,	-14.0360431671,	-0.819631159306,	0.355273842812,	-2.45811223984,	0.389154136181,	0.0755851268768,	0.439442932606
